chunk_size,top_k,model,question,expected_type,decision,response_time_s,response_length
256,1,gpt-4o-mini,What is machine learning?,memory,memory,10.27,2017
256,1,gpt-4o-mini,Explain the concept of photosynthesis.,memory,memory,10.34,1742
256,1,gpt-4o-mini,What is the Pythagorean theorem?,memory,memory,5.32,599
256,1,gpt-4o-mini,How does the internet work?,memory,memory,12.66,2561
256,1,gpt-4o-mini,What does the document say about the main topic?,retrieve,retrieve,4.9,604
256,1,gpt-4o-mini,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,6.26,1265
256,1,gpt-4o-mini,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,8.19,1312
256,1,gpt-4o-mini,How does the content in my document relate to broader scient...,hybrid,hybrid,10.44,2301
256,1,gpt-4o-mini,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,14.13,3135
256,1,gpt-4o-mini,Compare what my document says to general knowledge on the to...,hybrid,hybrid,12.97,2897
256,1,gpt-4o,What is machine learning?,memory,memory,7.4,1724
256,1,gpt-4o,Explain the concept of photosynthesis.,memory,memory,6.08,1480
256,1,gpt-4o,What is the Pythagorean theorem?,memory,memory,5.08,616
256,1,gpt-4o,How does the internet work?,memory,memory,12.39,2672
256,1,gpt-4o,What does the document say about the main topic?,retrieve,retrieve,3.17,503
256,1,gpt-4o,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,3.7,650
256,1,gpt-4o,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,5.0,977
256,1,gpt-4o,How does the content in my document relate to broader scient...,hybrid,hybrid,9.63,1962
256,1,gpt-4o,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,11.16,2110
256,1,gpt-4o,Compare what my document says to general knowledge on the to...,hybrid,hybrid,13.76,1970
256,3,gpt-4o-mini,What is machine learning?,memory,memory,7.15,1652
256,3,gpt-4o-mini,Explain the concept of photosynthesis.,memory,memory,12.4,1810
256,3,gpt-4o-mini,What is the Pythagorean theorem?,memory,memory,4.52,763
256,3,gpt-4o-mini,How does the internet work?,memory,memory,13.16,2590
256,3,gpt-4o-mini,What does the document say about the main topic?,retrieve,retrieve,5.32,893
256,3,gpt-4o-mini,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,7.17,1756
256,3,gpt-4o-mini,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,8.55,1481
256,3,gpt-4o-mini,How does the content in my document relate to broader scient...,hybrid,retrieve,8.65,2233
256,3,gpt-4o-mini,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,16.28,3491
256,3,gpt-4o-mini,Compare what my document says to general knowledge on the to...,hybrid,hybrid,14.43,3012
256,3,gpt-4o,What is machine learning?,memory,memory,9.83,1772
256,3,gpt-4o,Explain the concept of photosynthesis.,memory,memory,12.39,2008
256,3,gpt-4o,What is the Pythagorean theorem?,memory,memory,3.89,540
256,3,gpt-4o,How does the internet work?,memory,memory,9.52,2244
256,3,gpt-4o,What does the document say about the main topic?,retrieve,retrieve,4.73,811
256,3,gpt-4o,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,8.06,1363
256,3,gpt-4o,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,7.27,1453
256,3,gpt-4o,How does the content in my document relate to broader scient...,hybrid,hybrid,9.62,2126
256,3,gpt-4o,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,15.19,3033
256,3,gpt-4o,Compare what my document says to general knowledge on the to...,hybrid,hybrid,11.53,2694
256,5,gpt-4o-mini,What is machine learning?,memory,memory,13.51,1771
256,5,gpt-4o-mini,Explain the concept of photosynthesis.,memory,memory,11.98,1971
256,5,gpt-4o-mini,What is the Pythagorean theorem?,memory,memory,5.12,630
256,5,gpt-4o-mini,How does the internet work?,memory,memory,10.04,2807
256,5,gpt-4o-mini,What does the document say about the main topic?,retrieve,retrieve,9.32,969
256,5,gpt-4o-mini,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,10.95,2409
256,5,gpt-4o-mini,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,9.14,1680
256,5,gpt-4o-mini,How does the content in my document relate to broader scient...,hybrid,hybrid,12.16,2616
256,5,gpt-4o-mini,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,16.08,3173
256,5,gpt-4o-mini,Compare what my document says to general knowledge on the to...,hybrid,hybrid,16.38,3555
256,5,gpt-4o,What is machine learning?,memory,memory,9.73,1691
256,5,gpt-4o,Explain the concept of photosynthesis.,memory,memory,10.75,2297
256,5,gpt-4o,What is the Pythagorean theorem?,memory,memory,5.4,656
256,5,gpt-4o,How does the internet work?,memory,memory,13.13,2736
256,5,gpt-4o,What does the document say about the main topic?,retrieve,retrieve,4.53,664
256,5,gpt-4o,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,10.52,2134
256,5,gpt-4o,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,9.33,1756
256,5,gpt-4o,How does the content in my document relate to broader scient...,hybrid,hybrid,12.49,2216
256,5,gpt-4o,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,11.36,2530
256,5,gpt-4o,Compare what my document says to general knowledge on the to...,hybrid,hybrid,11.88,2994
512,1,gpt-4o-mini,What is machine learning?,memory,memory,8.36,1896
512,1,gpt-4o-mini,Explain the concept of photosynthesis.,memory,memory,9.05,1737
512,1,gpt-4o-mini,What is the Pythagorean theorem?,memory,memory,6.06,649
512,1,gpt-4o-mini,How does the internet work?,memory,memory,10.53,2597
512,1,gpt-4o-mini,What does the document say about the main topic?,retrieve,retrieve,12.75,874
512,1,gpt-4o-mini,"According to the PDF, what are the key findings or main idea...",retrieve,retrieve,11.42,1578
512,1,gpt-4o-mini,"Based on what I uploaded, summarize the main points.",retrieve,retrieve,8.19,1376
512,1,gpt-4o-mini,How does the content in my document relate to broader scient...,hybrid,hybrid,8.4,2169
512,1,gpt-4o-mini,Explain the concepts from the uploaded document in a broader...,hybrid,hybrid,13.51,2849
512,1,gpt-4o-mini,Compare what my document says to general knowledge on the to...,hybrid,hybrid,18.54,2524
512,1,gpt-4o,What is machine learning?,memory,memory,8.04,1669
